Region,Category,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23
NA,Laptops,42500,44000,47500,49000,51000,52500,50000,37500,52500,55000,67500,75000
NA,Audio,12750,13200,14250,14700,15300,15750,15000,11250,15750,16500,20250,22500
NA,Accessories,6800,7040,7600,7840,8160,8400,8000,6000,8400,8800,10800,12000
NA,Monitors,18700,19360,20900,21560,22440,23100,22000,16500,23100,24200,29700,33000
EMEA,Laptops,38250,39600,42750,44100,45900,47250,45000,33750,47250,49500,60750,67500
EMEA,Audio,15300,15840,17100,17640,18360,18900,18000,13500,18900,19800,24300,27000
EMEA,Accessories,8500,8800,9500,9800,10200,10500,10000,7500,10500,11000,13500,15000
EMEA,Monitors,17000,17600,19000,19600,20400,21000,20000,15000,21000,22000,27000,30000
APAC,Laptops,32300,33440,36100,37240,38760,39900,38000,28500,39900,41800,51300,57000
APAC,Audio,10200,10560,11400,11760,12240,12600,12000,9000,12600,13200,16200,18000
APAC,Accessories,5950,6160,6650,6860,7140,7350,7000,5250,7350,7700,9450,10500
APAC,Monitors,13600,14080,15200,15680,16320,16800,16000,12000,16800,17600,21600,24000
LATAM,Laptops,17000,17600,19000,19600,20400,21000,20000,15000,21000,22000,27000,30000
LATAM,Audio,6800,7040,7600,7840,8160,8400,8000,6000,8400,8800,10800,12000
LATAM,Accessories,3400,3520,3800,3920,4080,4200,4000,3000,4200,4400,5400,6000
LATAM,Monitors,7650,7920,8550,8820,9180,9450,9000,6750,9450,9900,12150,13500
